iter	Passed	Remaining
347	5456	10222
348	5467	10199
349	5487	10191
350	5501	10171
351	5520	10162
352	5527	10130
353	5535	10101
354	5552	10088
355	5565	10067
356	5573	10038
357	5589	10023
358	5599	9998
359	5610	9973
360	5617	9943
361	5624	9913
362	5631	9881
363	5638	9852
364	5646	9822
365	5654	9795
366	5663	9767
367	5670	9738
368	5678	9710
369	5686	9682
370	5694	9655
371	5702	9626
372	5710	9599
373	5719	9573
374	5726	9543
375	5737	9521
376	5751	9504
377	5771	9496
378	5779	9469
379	5801	9465
380	5817	9450
381	5835	9440
382	5844	9415
383	5887	9444
384	5912	9445
385	5936	9443
386	5943	9414
387	5951	9387
388	5964	9368
389	5984	9360
390	5998	9342
391	6007	9317
392	6023	9304
393	6043	9295
394	6059	9281
395	6068	9255
396	6076	9228
397	6096	9221
398	6105	9196
399	6115	9173
400	6134	9164
401	6143	9139
402	6163	9131
403	6172	9105
404	6180	9079
405	6198	9068
406	6208	9046
407	6216	9020
408	6229	9001
409	6248	8991
410	6271	8987
411	6280	8963
412	6288	8938
413	6299	8916
414	6361	8967
415	6386	8965
416	6395	8941
417	6408	8922
418	6423	8907
419	6448	8905
420	6458	8881
421	6467	8858
422	6486	8847
423	6495	8824
424	6505	8801
425	6512	8774
426	6520	8750
427	6528	8725
428	6541	8706
429	6560	8696
430	6568	8671
431	6577	8648
432	6599	8641
433	6613	8625
434	6621	8599
435	6630	8576
436	6640	8555
437	6688	8581
438	6707	8571
439	6727	8562
440	6745	8550
441	6759	8533
442	6775	8519
443	6789	8502
444	6797	8477
445	6804	8452
446	6821	8438
447	6839	8426
448	6849	8405
449	6871	8397
450	6886	8382
451	6902	8368
452	6924	8360
453	6943	8350
454	6953	8328
455	6964	8308
456	6977	8290
457	6987	8269
458	6994	8244
459	7001	8219
460	7009	8195
461	7017	8171
462	7031	8154
463	7049	8143
464	7070	8135
465	7080	8113
466	7087	8089
467	7095	8065
468	7111	8051
469	7120	8029
470	7135	8014
471	7148	7996
472	7161	7978
473	7174	7961
474	7184	7940
475	7191	7916
476	7198	7893
477	7210	7874
478	7227	7861
479	7242	7845
480	7255	7829
481	7265	7807
482	7275	7787
483	7291	7773
484	7302	7753
485	7312	7734
486	7320	7711
487	7329	7690
488	7336	7666
489	7345	7645
490	7353	7623
491	7361	7601
492	7371	7581
493	7379	7559
494	7387	7536
495	7394	7513
496	7402	7491
497	7409	7468
498	7417	7447
499	7425	7425
500	7433	7403
501	7442	7383
502	7451	7363
503	7459	7340
504	7468	7320
505	7482	7304
506	7504	7297
507	7512	7275
508	7521	7255
509	7541	7245
510	7553	7228
511	7568	7213
512	7581	7197
513	7597	7183
514	7621	7177
515	7634	7161
516	7649	7146
517	7657	7124
518	7666	7105
519	7690	7098
520	7698	7077
521	7716	7066
522	7726	7047
523	7748	7038
524	7757	7018
525	7768	7000
526	7791	6992
527	7809	6981
528	7818	6961
529	7825	6939
530	7834	6919
531	7853	6908
532	7869	6895
533	7887	6883
534	7894	6861
535	7907	6844
536	7926	6834
537	7934	6813
538	7946	6796
539	7960	6781
540	7980	6771
541	7992	6754
542	8002	6735
543	8023	6725
544	8035	6708
545	8051	6694
546	8060	6675
547	8068	6654
548	8089	6645
549	8101	6628
550	8122	6618
551	8130	6598
552	8138	6578
553	8156	6566
554	8165	6546
555	8172	6526
556	8181	6506
557	8199	6495
558	8219	6484
559	8230	6466
560	8238	6446
561	8246	6426
562	8273	6421
563	8295	6412
564	8306	6395
565	8317	6377
566	8333	6364
567	8342	6345
568	8351	6325
569	8369	6314
570	8381	6296
571	8397	6283
572	8407	6265
573	8415	6246
574	8426	6228
575	8442	6214
576	8457	6199
577	8468	6182
578	8491	6174
579	8505	6158
580	8524	6147
581	8541	6134
582	8557	6120
583	8572	6106
584	8588	6092
585	8598	6075
586	8611	6058
587	8627	6044
588	8651	6037
589	8674	6027
590	8690	6014
591	8705	5999
592	8723	5987
593	8752	5982
594	8770	5969
595	8791	5959
596	8803	5942
597	8822	5931
598	8841	5919
599	8853	5902
600	8864	5885
601	8879	5870
602	8896	5856
603	8923	5850
604	8938	5835
605	8954	5821
606	8967	5805
607	8978	5788
608	8993	5774
609	9004	5756
610	9015	5739
611	9029	5724
612	9043	5709
613	9056	5693
614	9067	5676
615	9083	5662
616	9094	5645
617	9109	5630
618	9124	5616
619	9139	5601
620	9155	5587
621	9166	5570
622	9179	5554
623	9200	5543
624	9226	5536
625	9240	5520
626	9252	5504
627	9268	5490
628	9292	5481
629	9319	5473
630	9344	5464
631	9360	5450
632	9374	5435
633	9399	5426
634	9415	5411
635	9428	5395
636	9453	5387
637	9473	5375
638	9509	5372
639	9528	5359
640	9542	5344
641	9576	5339
642	9615	5338
643	9647	5333
644	9677	5326
645	9712	5322
646	9754	5321
647	9812	5330
648	9847	5325
649	9879	5319
650	9922	5319
651	9959	5315
652	10007	5318
653	10043	5313
654	10075	5307
655	10115	5304
656	10162	5305
657	10189	5295
658	10213	5285
659	10236	5273
660	10251	5257
661	10270	5243
662	10291	5231
663	10305	5214
664	10319	5198
665	10334	5182
666	10356	5170
667	10381	5159
668	10400	5145
669	10428	5136
670	10451	5124
671	10475	5113
672	10494	5099
673	10517	5087
674	10538	5074
675	10553	5058
676	10581	5048
677	10606	5037
678	10625	5023
679	10653	5013
680	10685	5005
681	10711	4994
682	10736	4983
683	10757	4969
684	10781	4958
685	10795	4941
686	10812	4926
687	10827	4910
688	10843	4894
689	10862	4880
690	10888	4869
691	10908	4855
692	10933	4843
693	10952	4829
694	10976	4816
695	10993	4801
696	11009	4785
697	11023	4769
698	11036	4752
699	11049	4735
700	11068	4720
701	11082	4704
702	11098	4689
703	11116	4673
704	11130	4657
705	11147	4642
706	11162	4625
707	11178	4610
708	11193	4594
709	11215	4580
710	11238	4568
711	11251	4551
712	11264	4534
713	11280	4518
714	11303	4505
715	11326	4492
716	11342	4477
717	11359	4461
718	11377	4446
719	11395	4431
720	11417	4418
721	11450	4409
722	11477	4397
723	11503	4385
724	11533	4374
725	11570	4366
726	11603	4357
727	11631	4345
728	11661	4334
729	11684	4321
730	11703	4306
731	11743	4299
732	11778	4290
733	11806	4278
734	11833	4266
735	11865	4256
736	11892	4243
737	11929	4235
738	11976	4229
739	12026	4225
740	12080	4222
741	12120	4214
742	12175	4211
743	12202	4198
744	12241	4190
745	12281	4181
746	12313	4170
747	12354	4162
748	12383	4150
749	12417	4139
750	12459	4131
751	12487	4118
752	12518	4106
753	12538	4090
754	12571	4079
755	12600	4066
756	12630	4054
757	12657	4041
758	12685	4027
759	12696	4009
760	12718	3994
761	12745	3980
762	12770	3966
763	12794	3952
764	12820	3938
765	12842	3923
766	12868	3909
767	12890	3893
768	12917	3880
769	12940	3865
770	12970	3852
771	12993	3837
772	13010	3820
773	13037	3806
774	13063	3792
775	13086	3777
776	13107	3761
777	13126	3745
778	13152	3731
779	13177	3716
780	13210	3704
781	13238	3690
782	13266	3676
783	13288	3661
784	13308	3645
785	13331	3629
786	13354	3614
787	13379	3599
788	13408	3585
789	13432	3570
790	13463	3557
791	13486	3541
792	13504	3525
793	13523	3508
794	13543	3492
795	13567	3477
796	13586	3460
797	13609	3445
798	13628	3428
799	13650	3412
800	13668	3395
801	13692	3380
802	13710	3363
803	13733	3347
804	13751	3331
805	13766	3313
806	13789	3297
807	13819	3283
808	13836	3266
809	13854	3249
810	13874	3233
811	13888	3215
812	13905	3198
813	13928	3182
814	13943	3165
815	13959	3147
816	13982	3132
817	14003	3115
818	14019	3098
819	14037	3081
820	14057	3064
821	14081	3049
822	14099	3032
823	14123	3016
824	14139	2999
825	14156	2982
826	14171	2964
827	14190	2947
828	14213	2931
829	14237	2916
830	14263	2900
831	14283	2884
832	14305	2867
833	14326	2851
834	14345	2834
835	14372	2819
836	14393	2803
837	14414	2786
838	14433	2769
839	14455	2753
840	14475	2736
841	14499	2720
842	14516	2703
843	14532	2686
844	14558	2670
845	14578	2653
846	14596	2636
847	14616	2620
848	14643	2604
849	14658	2586
850	14673	2569
851	14691	2551
852	14705	2534
853	14720	2516
854	14737	2499
855	14755	2482
856	14776	2465
857	14792	2448
858	14813	2431
859	14828	2413
860	14850	2397
861	14867	2380
862	14887	2363
863	14904	2346
864	14919	2328
865	14938	2311
866	14954	2294
867	14972	2276
868	14995	2260
869	15009	2242
870	15029	2225
871	15044	2208
872	15077	2193
873	15099	2176
874	15121	2160
875	15139	2142
876	15154	2125
877	15165	2107
878	15176	2089
879	15187	2071
880	15197	2052
881	15207	2034
882	15218	2016
883	15228	1998
884	15238	1980
885	15252	1962
886	15278	1946
887	15296	1929
888	15307	1911
889	15318	1893
890	15335	1876
891	15354	1859
892	15371	1841
893	15391	1824
894	15401	1806
895	15412	1788
896	15432	1772
897	15446	1754
898	15464	1737
899	15475	1719
900	15494	1702
901	15510	1685
902	15524	1667
903	15535	1649
904	15547	1632
905	15580	1616
906	15600	1599
907	15621	1582
908	15637	1565
909	15652	1548
910	15663	1530
911	15675	1512
912	15684	1494
913	15695	1476
914	15718	1460
915	15727	1442
916	15748	1425
917	15761	1407
918	15780	1390
919	15793	1373
920	15810	1356
921	15831	1339
922	15842	1321
923	15862	1304
924	15878	1287
925	15895	1270
926	15911	1252
927	15930	1236
928	15940	1218
929	15960	1201
930	15971	1183
931	15984	1166
932	16004	1149
933	16022	1132
934	16034	1114
935	16048	1097
936	16067	1080
937	16088	1063
938	16101	1046
939	16116	1028
940	16132	1011
941	16152	994
942	16167	977
943	16224	962
944	16262	946
945	16274	928
946	16296	912
947	16312	894
948	16328	877
949	16353	860
950	16377	843
951	16408	827
952	16440	810
953	16491	795
954	16538	779
955	16585	763
956	16617	746
957	16637	729
958	16661	712
959	16687	695
960	16723	678
961	16743	661
962	16760	643
963	16780	626
964	16812	609
965	16834	592
966	16860	575
967	16891	558
968	16914	541
969	16929	523
970	16951	506
971	16968	488
972	16985	471
973	17007	453
974	17024	436
975	17047	419
976	17067	401
977	17080	384
978	17116	367
979	17140	349
980	17157	332
981	17176	314
982	17189	297
983	17216	279
984	17240	262
985	17253	244
986	17277	227
987	17298	210
988	17313	192
989	17340	175
990	17353	157
991	17372	140
992	17395	122
993	17409	105
994	17433	87
995	17447	70
996	17461	52
997	17483	35
998	17502	17
999	17517	0
